player,position,number,nat.,url,marketValue
Álex Alegría,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/alex-alegria/profil/spieler/178187,0.8
Javi Guerra,Centre-Forward,24,Spain,https://www.transfermarkt.com/javi-guerra/profil/spieler/46215,0.2
Sergio Moreno,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/sergio-moreno/profil/spieler/607779,0.1
Rubén Blanco,Goalkeeper,13,Spain,https://www.transfermarkt.com/ruben-blanco/profil/spieler/199321,3.0
Sergio Álvarez,Goalkeeper,1,Spain,https://www.transfermarkt.com/sergio-alvarez/profil/spieler/45912,2.0
Iván Villar,Goalkeeper,26,Spain,https://www.transfermarkt.com/ivan-villar/profil/spieler/297194,0.3
Wesley Hoedt,Centre-Back,12,Netherlands,https://www.transfermarkt.com/wesley-hoedt/profil/spieler/253765,12.0
Néstor Araújo,Centre-Back,4,"['Mexico', 'Spain']",https://www.transfermarkt.com/nestor-araujo/profil/spieler/64134,8.0
David Costas,Centre-Back,3,Spain,https://www.transfermarkt.com/david-costas/profil/spieler/276111,3.0
Júnior Alonso,Centre-Back,25,Paraguay,https://www.transfermarkt.com/junior-alonso/profil/spieler/273000,3.0
Facundo Roncaglia,Centre-Back,24,"['Argentina', 'Italy']",https://www.transfermarkt.com/facundo-roncaglia/profil/spieler/61546,2.5
Gustavo Cabral,Centre-Back,22,"['Argentina', 'Spain']",https://www.transfermarkt.com/gustavo-cabral/profil/spieler/30677,1.5
Lucas Olaza,Left-Back,15,Uruguay,https://www.transfermarkt.com/lucas-olaza/profil/spieler/216240,3.5
David Juncà,Left-Back,17,Spain,https://www.transfermarkt.com/david-junca/profil/spieler/164055,1.5
Robert Mazan,Left-Back,15,Slovakia,https://www.transfermarkt.com/robert-mazan/profil/spieler/181619,0.3
Hugo Mallo,Right-Back,2,Spain,https://www.transfermarkt.com/hugo-mallo/profil/spieler/119905,15.0
Kevin Vázquez,Right-Back,20,Spain,https://www.transfermarkt.com/kevin-vazquez/profil/spieler/221315,0.5
Stanislav Lobotka,Defensive Midfield,14,Slovakia,https://www.transfermarkt.com/stanislav-lobotka/profil/spieler/192735,25.0
Okay Yokuslu,Defensive Midfield,5,Turkey,https://www.transfermarkt.com/okay-yokuslu/profil/spieler/137616,12.0
Nemanja Radoja,Defensive Midfield,6,Serbia,https://www.transfermarkt.com/nemanja-radoja/profil/spieler/168959,3.0
Fran Beltrán,Central Midfield,8,Spain,https://www.transfermarkt.com/fran-beltran/profil/spieler/423444,18.0
Mathias Jensen,Central Midfield,18,Denmark,https://www.transfermarkt.com/mathias-jensen/profil/spieler/319859,2.5
Jozabed Sánchez,Central Midfield,21,Spain,https://www.transfermarkt.com/jozabed-sanchez/profil/spieler/207924,2.0
Ryad Boudebouz,Attacking Midfield,24,"['Algeria', 'France']",https://www.transfermarkt.com/ryad-boudebouz/profil/spieler/77826,6.0
Andrew Hjulsager,Attacking Midfield,16,Denmark,https://www.transfermarkt.com/andrew-hjulsager/profil/spieler/167798,1.0
Sofiane Boufal,Left Winger,19,"['Morocco', 'France']",https://www.transfermarkt.com/sofiane-boufal/profil/spieler/232271,12.0
Pione Sisto,Left Winger,11,"['Denmark', 'Southern Sudan']",https://www.transfermarkt.com/pione-sisto/profil/spieler/252641,8.0
Brais Méndez,Right Winger,23,Spain,https://www.transfermarkt.com/brais-mendez/profil/spieler/309110,20.0
Emre Mor,Right Winger,7,"['Turkey', 'Denmark']",https://www.transfermarkt.com/emre-mor/profil/spieler/283223,2.0
Juan Hernández,Right Winger,unknown,Spain,https://www.transfermarkt.com/juan-hernandez/profil/spieler/349873,0.5
Maxi Gómez,Centre-Forward,9,Uruguay,https://www.transfermarkt.com/maxi-gomez/profil/spieler/396894,40.0
Iago Aspas,Centre-Forward,10,Spain,https://www.transfermarkt.com/iago-aspas/profil/spieler/72047,25.0
Gabriel Fernández,Centre-Forward,unknown,Uruguay,https://www.transfermarkt.com/gabriel-fernandez/profil/spieler/259930,3.0
Claudio Beauvue,Centre-Forward,unknown,"['Guadeloupe', 'France']",https://www.transfermarkt.com/claudio-beauvue/profil/spieler/58818,2.5
Dennis Eckert Ayensa,Centre-Forward,32,"['Germany', 'Spain']",https://www.transfermarkt.com/dennis-eckert-ayensa/profil/spieler/249303,1.2
Emmanuel Apeh,Centre-Forward,29,Nigeria,https://www.transfermarkt.com/emmanuel-apeh/profil/spieler/463332,0.3
Roberto,Goalkeeper,1,Spain,https://www.transfermarkt.com/roberto/profil/spieler/37403,1.5
Diego López,Goalkeeper,13,Spain,https://www.transfermarkt.com/diego-lopez/profil/spieler/34370,1.0
Mario Hermoso,Centre-Back,22,Spain,https://www.transfermarkt.com/mario-hermoso/profil/spieler/281769,25.0
Naldo,Centre-Back,5,"['Brazil', 'Italy']",https://www.transfermarkt.com/naldo/profil/spieler/148666,2.0
Óscar Duarte,Centre-Back,6,"['Costa Rica', 'Spain']",https://www.transfermarkt.com/oscar-duarte/profil/spieler/175323,1.0
Lluís López,Centre-Back,unknown,Spain,https://www.transfermarkt.com/lluis-lopez/profil/spieler/262391,0.3
Iago Indias,Centre-Back,unknown,Spain,https://www.transfermarkt.com/iago-indias/profil/spieler/356196,0.2
Aarón Martín,Left-Back,unknown,Spain,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878,20.0
Adrià Pedrosa,Left-Back,28,Spain,https://www.transfermarkt.com/adria-pedrosa/profil/spieler/501418,10.0
Dídac Vilà,Left-Back,12,Spain,https://www.transfermarkt.com/didac-vila/profil/spieler/67090,4.0
Javi López,Left-Back,16,Spain,https://www.transfermarkt.com/javi-lopez/profil/spieler/72310,1.0
Roberto Rosales,Right-Back,unknown,"['Venezuela', 'Spain']",https://www.transfermarkt.com/roberto-rosales/profil/spieler/49500,2.5
Pipa,Right-Back,unknown,Spain,https://www.transfermarkt.com/pipa/profil/spieler/423166,0.3
Marc Roca,Defensive Midfield,21,Spain,https://www.transfermarkt.com/marc-roca/profil/spieler/336869,30.0
David López,Defensive Midfield,15,Spain,https://www.transfermarkt.com/david-lopez/profil/spieler/129444,9.0
Alfa Semedo,Defensive Midfield,unknown,"['Guinea-Bissau', 'Portugal']",https://www.transfermarkt.com/alfa-semedo/profil/spieler/359210,2.0
Sergi Darder,Central Midfield,10,Spain,https://www.transfermarkt.com/sergi-darder/profil/spieler/142021,14.0
Víctor Sánchez,Central Midfield,4,Spain,https://www.transfermarkt.com/victor-sanchez/profil/spieler/63290,3.0
Esteban Granero,Central Midfield,23,Spain,https://www.transfermarkt.com/esteban-granero/profil/spieler/44065,3.0
Álex López,Central Midfield,18,Spain,https://www.transfermarkt.com/alex-lopez/profil/spieler/313113,0.4
Lei Wu,Left Winger,24,China,https://www.transfermarkt.com/lei-wu/profil/spieler/140436,10.0
Pablo Piatti,Left Winger,19,"['Argentina', 'Italy']",https://www.transfermarkt.com/pablo-piatti/profil/spieler/56067,4.0
Javi Puado,Left Winger,20,Spain,https://www.transfermarkt.com/javi-puado/profil/spieler/408471,1.0
Carlos Doncel,Left Winger,unknown,Spain,https://www.transfermarkt.com/carlos-doncel/profil/spieler/379530,0.2
Óscar Melendo,Right Winger,14,Spain,https://www.transfermarkt.com/oscar-melendo/profil/spieler/448344,10.0
Hernán Pérez,Right Winger,17,"['Paraguay', 'Spain']",https://www.transfermarkt.com/hernan-perez/profil/spieler/73636,1.5
Borja Iglesias,Centre-Forward,7,Spain,https://www.transfermarkt.com/borja-iglesias/profil/spieler/278359,28.0
Leo Baptistão,Centre-Forward,unknown,"['Brazil', 'Spain']",https://www.transfermarkt.com/leo-baptistao/profil/spieler/221899,4.5
Facundo Ferreyra,Centre-Forward,11,"['Argentina', 'Italy']",https://www.transfermarkt.com/facundo-ferreyra/profil/spieler/93795,4.0
Álvaro Vázquez,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/alvaro-vazquez/profil/spieler/141835,1.0
Sergio García,Centre-Forward,9,Spain,https://www.transfermarkt.com/sergio-garcia/profil/spieler/7922,1.0
Víctor Campuzano,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/victor-campuzano/profil/spieler/394285,0.3
Pau López,Goalkeeper,13,Spain,https://www.transfermarkt.com/pau-lopez/profil/spieler/286415,20.0
Joel Robles,Goalkeeper,1,Spain,https://www.transfermarkt.com/joel-robles/profil/spieler/101118,5.0
Marc Bartra,Centre-Back,5,Spain,https://www.transfermarkt.com/marc-bartra/profil/spieler/99922,22.0
Aïssa Mandi,Centre-Back,23,"['Algeria', 'France']",https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293,16.0
Sidnei,Centre-Back,12,"['Brazil', 'Spain']",https://www.transfermarkt.com/sidnei/profil/spieler/27374,10.0
Zouhair Feddal,Centre-Back,4,"['Morocco', 'Spain']",https://www.transfermarkt.com/zouhair-feddal/profil/spieler/129386,5.0
Javi García,Centre-Back,3,Spain,https://www.transfermarkt.com/javi-garcia/profil/spieler/36350,2.0
Alin Tosca,Centre-Back,unknown,Romania,https://www.transfermarkt.com/alin-tosca/profil/spieler/148004,1.25
Edgar González,Centre-Back,32,Spain,https://www.transfermarkt.com/edgar-gonzalez/profil/spieler/401624,0.3
Junior Firpo,Left-Back,20,"['Dominican Republic', 'Spain']",https://www.transfermarkt.com/junior-firpo/profil/spieler/374139,25.0
Julio Alonso,Left-Back,30,Spain,https://www.transfermarkt.com/julio-alonso/profil/spieler/521455,0.1
Diego Altamirano,Left-Back,37,Spain,https://www.transfermarkt.com/diego-altamirano/profil/spieler/261498,0.1
Francis Guerrero,Right-Back,2,Spain,https://www.transfermarkt.com/francis-guerrero/profil/spieler/370691,6.0
Emerson Royal,Right-Back,24,"['Brazil', 'Spain']",https://www.transfermarkt.com/emerson-royal/profil/spieler/476344,3.0
Antonio Barragán,Right-Back,19,Spain,https://www.transfermarkt.com/antonio-barragan/profil/spieler/32522,2.0
Paul Akouokou,Defensive Midfield,38,Cote d'Ivoire,https://www.transfermarkt.com/paul-akouokou/profil/spieler/429901,0.1
Giovani Lo Celso,Central Midfield,21,"['Argentina', 'Italy']",https://www.transfermarkt.com/giovani-lo-celso/profil/spieler/348795,50.0
William Carvalho,Central Midfield,14,"['Portugal', 'Angola']",https://www.transfermarkt.com/william-carvalho/profil/spieler/100131,25.0
Víctor Camarasa,Central Midfield,unknown,Spain,https://www.transfermarkt.com/victor-camarasa/profil/spieler/263856,10.0
Andrés Guardado,Central Midfield,18,"['Mexico', 'Spain']",https://www.transfermarkt.com/andres-guardado/profil/spieler/20506,5.0
Wilfrid Kaptoum,Central Midfield,34,Cameroon,https://www.transfermarkt.com/wilfrid-kaptoum/profil/spieler/256120,4.0
Darko Brasanac,Central Midfield,22,Serbia,https://www.transfermarkt.com/darko-brasanac/profil/spieler/95641,2.0
Jaime Garijo,Central Midfield,37,Spain,https://www.transfermarkt.com/jaime-garijo/profil/spieler/566667,0.1
Sergio Canales,Attacking Midfield,6,Spain,https://www.transfermarkt.com/sergio-canales/profil/spieler/66106,25.0
Ryad Boudebouz,Attacking Midfield,10,"['Algeria', 'France']",https://www.transfermarkt.com/ryad-boudebouz/profil/spieler/77826,6.0
Cristian Tello,Left Winger,11,Spain,https://www.transfermarkt.com/cristian-tello/profil/spieler/141834,10.0
Takashi Inui,Left Winger,8,Japan,https://www.transfermarkt.com/takashi-inui/profil/spieler/98249,4.0
José Manuel Irizo,Left Winger,28,Spain,https://www.transfermarkt.com/jose-manuel-irizo/profil/spieler/521462,0.15
Diego Lainez,Right Winger,22,"['Mexico', 'Spain']",https://www.transfermarkt.com/diego-lainez/profil/spieler/371174,14.0
Joaquín,Right Winger,17,Spain,https://www.transfermarkt.com/joaquin/profil/spieler/7663,2.0
Rober González,Right Winger,33,Spain,https://www.transfermarkt.com/rober-gonzalez/profil/spieler/505675,0.2
Adrián Tellado,Right Winger,27,Spain,https://www.transfermarkt.com/adrian-tellado/profil/spieler/548618,0.1
Loren Morón,Centre-Forward,16,Spain,https://www.transfermarkt.com/loren-moron/profil/spieler/354741,10.0
Antonio Sanabria,Centre-Forward,9,"['Paraguay', 'Spain']",https://www.transfermarkt.com/antonio-sanabria/profil/spieler/234523,9.0
Jesé,Centre-Forward,10,Spain,https://www.transfermarkt.com/jese/profil/spieler/134936,5.0
Sergio León,Centre-Forward,7,Spain,https://www.transfermarkt.com/sergio-leon/profil/spieler/145769,3.0
Álex Alegría,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/alex-alegria/profil/spieler/178187,0.8
Juanjo Narváez,Centre-Forward,unknown,"['Colombia', 'Spain']",https://www.transfermarkt.com/juanjo-narvaez/profil/spieler/213595,0.7
Thibaut Courtois,Goalkeeper,25,Belgium,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,55.0
Keylor Navas,Goalkeeper,1,"['Costa Rica', 'Spain']",https://www.transfermarkt.com/keylor-navas/profil/spieler/79422,10.0
Andriy Lunin,Goalkeeper,26,Ukraine,https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,7.5
Kiko Casilla,Goalkeeper,13,Spain,https://www.transfermarkt.com/kiko-casilla/profil/spieler/27486,3.0
Luca Zidane,Goalkeeper,30,"['France', 'Spain']",https://www.transfermarkt.com/luca-zidane/profil/spieler/283489,1.0
Raphaël Varane,Centre-Back,5,"['France', 'Martinique']",https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,70.0
Sergio Ramos,Centre-Back,4,Spain,https://www.transfermarkt.com/sergio-ramos/profil/spieler/25557,25.0
Nacho Fernández,Centre-Back,6,Spain,https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,25.0
Jesús Vallejo,Centre-Back,3,Spain,https://www.transfermarkt.com/jesus-vallejo/profil/spieler/251896,10.0
Javi Sánchez,Centre-Back,31,Spain,https://www.transfermarkt.com/javi-sanchez/profil/spieler/340853,2.0
Adrián de la Fuente,Centre-Back,26,Spain,https://www.transfermarkt.com/adrian-de-la-fuente/profil/spieler/341263,0.3
Marcelo,Left-Back,12,"['Brazil', 'Spain']",https://www.transfermarkt.com/marcelo/profil/spieler/44501,25.0
Theo Hernández,Left-Back,unknown,"['France', 'Spain']",https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808,15.0
Sergio Reguilón,Left-Back,23,Spain,https://www.transfermarkt.com/sergio-reguilon/profil/spieler/282429,15.0
Fran García,Left-Back,37,Spain,https://www.transfermarkt.com/fran-garcia/profil/spieler/341264,0.25
Daniel Carvajal,Right-Back,2,Spain,https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,50.0
Lucas Vázquez,Right-Back,17,Spain,https://www.transfermarkt.com/lucas-vazquez/profil/spieler/221316,25.0
Álvaro Odriozola,Right-Back,19,Spain,https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730,25.0
Casemiro,Defensive Midfield,14,"['Brazil', 'Spain']",https://www.transfermarkt.com/casemiro/profil/spieler/16306,60.0
Lucas Silva,Defensive Midfield,unknown,Brazil,https://www.transfermarkt.com/lucas-silva/profil/spieler/218118,2.0
Toni Kroos,Central Midfield,8,Germany,https://www.transfermarkt.com/toni-kroos/profil/spieler/31909,60.0
Mateo Kovacic,Central Midfield,unknown,Croatia,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,35.0
Dani Ceballos,Central Midfield,24,Spain,https://www.transfermarkt.com/dani-ceballos/profil/spieler/319745,30.0
Luka Modric,Central Midfield,10,Croatia,https://www.transfermarkt.com/luka-modric/profil/spieler/27992,20.0
Federico Valverde,Central Midfield,15,"['Uruguay', 'Spain']",https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,20.0
Marcos Llorente,Central Midfield,18,Spain,https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411,20.0
Jaume Grau,Central Midfield,39,Spain,https://www.transfermarkt.com/jaume-grau/profil/spieler/340864,0.3
Jaime Seoane,Central Midfield,33,Spain,https://www.transfermarkt.com/jaime-seoane/profil/spieler/340867,0.25
Isco,Attacking Midfield,22,Spain,https://www.transfermarkt.com/isco/profil/spieler/85288,60.0
James Rodríguez,Attacking Midfield,unknown,"['Colombia', 'Spain']",https://www.transfermarkt.com/james-rodriguez/profil/spieler/88103,50.0
Brahim Díaz,Attacking Midfield,21,"['Spain', 'Morocco']",https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678,17.0
Martin Ødegaard,Attacking Midfield,unknown,Norway,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,15.0
Álvaro Fidalgo,Attacking Midfield,36,Spain,https://www.transfermarkt.com/alvaro-fidalgo/profil/spieler/261503,0.3
Vinicius Junior,Left Winger,28,Brazil,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,70.0
Gareth Bale,Right Winger,11,Wales,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381,60.0
Marco Asensio,Right Winger,20,"['Spain', 'Netherlands']",https://www.transfermarkt.com/marco-asensio/profil/spieler/296622,60.0
Franchu,Right Winger,34,"['Argentina', 'Spain']",https://www.transfermarkt.com/franchu/profil/spieler/458466,0.2
Karim Benzema,Centre-Forward,9,"['France', 'Algeria']",https://www.transfermarkt.com/karim-benzema/profil/spieler/18922,40.0
Raúl de Tomás,Centre-Forward,unknown,"['Spain', 'Dominican Republic']",https://www.transfermarkt.com/raul-de-tomas/profil/spieler/162038,20.0
Mariano Díaz,Centre-Forward,7,"['Dominican Republic', 'Spain']",https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020,20.0
Cristo González,Centre-Forward,27,Spain,https://www.transfermarkt.com/cristo-gonzalez/profil/spieler/339707,5.0
Borja Mayoral,Centre-Forward,21,Spain,https://www.transfermarkt.com/borja-mayoral/profil/spieler/298976,4.0
Gerónimo Rulli,Goalkeeper,1,"['Argentina', 'Italy']",https://www.transfermarkt.com/geronimo-rulli/profil/spieler/229604,10.0
Miguel Ángel Moyá,Goalkeeper,13,Spain,https://www.transfermarkt.com/miguel-angel-moya/profil/spieler/26065,1.5
Andoni Zubiaurre,Goalkeeper,30,Spain,https://www.transfermarkt.com/andoni-zubiaurre/profil/spieler/428948,0.3
Igor Zubeldia,Centre-Back,5,Spain,https://www.transfermarkt.com/igor-zubeldia/profil/spieler/355628,30.0
Diego Llorente,Centre-Back,3,Spain,https://www.transfermarkt.com/diego-llorente/profil/spieler/246291,25.0
Aritz Elustondo,Centre-Back,15,Spain,https://www.transfermarkt.com/aritz-elustondo/profil/spieler/229804,10.0
Héctor Moreno,Centre-Back,6,"['Mexico', 'Spain']",https://www.transfermarkt.com/hector-moreno/profil/spieler/51046,6.0
Robin Le Normand,Centre-Back,27,France,https://www.transfermarkt.com/robin-le-normand/profil/spieler/351809,4.0
Raúl Navas,Centre-Back,22,Spain,https://www.transfermarkt.com/raul-navas/profil/spieler/142419,3.0
Theo Hernández,Left-Back,19,"['France', 'Spain']",https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808,15.0
Aihen Muñoz,Left-Back,29,Spain,https://www.transfermarkt.com/aihen-munoz/profil/spieler/517842,7.5
Kévin Rodrigues,Left-Back,20,"['Portugal', 'France']",https://www.transfermarkt.com/kevin-rodrigues/profil/spieler/206947,3.0
Joseba Zaldua,Right-Back,2,Spain,https://www.transfermarkt.com/joseba-zaldua/profil/spieler/197135,10.0
Andoni Gorosabel,Right-Back,18,Spain,https://www.transfermarkt.com/andoni-gorosabel/profil/spieler/289255,1.5
Álex Sola,Right-Back,35,Spain,https://www.transfermarkt.com/alex-sola/profil/spieler/434990,0.2
Asier Illarramendi,Defensive Midfield,4,Spain,https://www.transfermarkt.com/asier-illarramendi/profil/spieler/59344,25.0
Martín Zubimendi,Defensive Midfield,36,Spain,https://www.transfermarkt.com/martin-zubimendi/profil/spieler/423440,0.1
Mikel Merino,Central Midfield,8,Spain,https://www.transfermarkt.com/mikel-merino/profil/spieler/338424,15.0
Rubén Pardo,Central Midfield,14,Spain,https://www.transfermarkt.com/ruben-pardo/profil/spieler/99352,4.0
Luca Sangalli,Central Midfield,23,"['Spain', 'Italy']",https://www.transfermarkt.com/luca-sangalli/profil/spieler/289286,4.0
David Zurutuza,Central Midfield,17,"['Spain', 'France']",https://www.transfermarkt.com/david-zurutuza/profil/spieler/59375,2.5
Ander Guevara,Central Midfield,26,Spain,https://www.transfermarkt.com/ander-guevara/profil/spieler/465967,2.5
Roberto López,Attacking Midfield,28,Spain,https://www.transfermarkt.com/roberto-lopez/profil/spieler/569866,1.0
Mikel Oyarzabal,Left Winger,10,Spain,https://www.transfermarkt.com/mikel-oyarzabal/profil/spieler/351478,50.0
Ander Barrenetxea,Left Winger,34,Spain,https://www.transfermarkt.com/ander-barrenetxea/profil/spieler/616369,10.0
Juanmi,Left Winger,7,Spain,https://www.transfermarkt.com/juanmi/profil/spieler/126737,8.0
Martín Merquelanz,Left Winger,16,Spain,https://www.transfermarkt.com/martin-merquelanz/profil/spieler/289272,0.4
Näis Djouahra,Left Winger,31,"['France', 'Algeria']",https://www.transfermarkt.com/nais-djouahra/profil/spieler/594926,0.15
Adnan Januzaj,Right Winger,11,"['Belgium', 'Kosovo']",https://www.transfermarkt.com/adnan-januzaj/profil/spieler/177847,15.0
Zourdine Thior,Right Winger,38,Senegal,https://www.transfermarkt.com/zourdine-thior/profil/spieler/563335,0.3
Willian José,Centre-Forward,12,"['Brazil', 'Spain']",https://www.transfermarkt.com/willian-jose/profil/spieler/122155,30.0
Sandro Ramírez,Centre-Forward,24,Spain,https://www.transfermarkt.com/sandro-ramirez/profil/spieler/199369,4.0
Jon Bautista,Centre-Forward,21,Spain,https://www.transfermarkt.com/jon-bautista/profil/spieler/289236,2.0
Marko Dmitrovic,Goalkeeper,1,Serbia,https://www.transfermarkt.com/marko-dmitrovic/profil/spieler/94308,10.0
